Security,N,Nfield,meanOpen,meanClose,meanHigh,meanLow,meanVolumn
CXO UN EquityFieldData.csv,2622,5,85.04856217,85.08932494,86.35105568,83.71346339,265178.7334
D UN EquityFieldData.csv,8065,5,33.84224103,33.85568889,34.09116164,33.58261224,1041474.967
DAL UN EquityFieldData.csv,2691,5,24.19848755,24.19207729,24.57673058,23.81022148,2331981.595
DE UN EquityFieldData.csv,8066,5,38.69240136,38.69940713,39.11561566,38.25446803,1850167.788
DFS UN EquityFieldData.csv,2657,5,37.61525781,37.62893113,38.01622507,37.21950019,1319019.377
DG UN EquityFieldData.csv,2046,5,55.9188172,55.93277126,56.45089394,55.38582747,669560.0117
DGX UN EquityFieldData.csv,5295,5,46.00837926,46.03810599,46.46326516,45.58496087,714576.5822
DHI UN EquityFieldData.csv,5550,5,16.32247247,16.31414924,16.57825492,16.04610319,1574938.534
DHR UN EquityFieldData.csv,8065,5,20.96033479,20.9680645,21.12884792,20.78919184,1277431.36
DIS UN EquityFieldData.csv,8066,5,32.9484686,32.95784132,33.25711907,32.63000983,4403818.095
DISCA UW EquityFieldData.csv,3134,5,21.69216481,21.69435932,21.94141921,21.42962198,859734.4965
DISCK UW EquityFieldData.csv,2338,5,24.0295787,24.04329769,24.31400128,23.76781985,514682.2027
DISH UW EquityFieldData.csv,5674,5,29.54323867,29.53943733,30.00774045,29.05543087,1586528.606
DLR UN EquityFieldData.csv,3316,5,56.36492159,56.38821472,56.9749614,55.71376478,356727.794
DLTR UW EquityFieldData.csv,5748,5,25.42211006,25.4291435,25.72558979,25.11454709,1929281.43
DOV UN EquityFieldData.csv,8065,5,32.17617174,32.18602224,32.50647526,31.84150895,493418.327
DPS UN EquityFieldData.csv,2438,5,53.84505742,53.87894176,54.27370057,53.44340607,494797.4524
DRE UN EquityFieldData.csv,7989,5,19.19750897,19.20746324,19.44476354,18.970498,414942.5437
DRI UN EquityFieldData.csv,5702,5,31.03066598,31.0450885,31.37957676,30.69391568,734189.8513
DTE UN EquityFieldData.csv,8066,5,42.86170655,42.88420314,43.19051884,42.52954866,383482.761
DUK UN EquityFieldData.csv,8065,5,47.04162962,47.04928803,47.41165113,46.64508951,627379.2774
DVA UN EquityFieldData.csv,5581,5,29.74390815,29.75052299,30.01539966,29.46909403,839077.6952
DVN UN EquityFieldData.csv,3329,5,61.51602884,61.48747522,62.36640553,60.59150826,1580644.786
DWDP UN EquityFieldData.csv,8065,5,31.66823112,31.67557929,32.01194689,31.31832784,2427802.715
DXC UN EquityFieldData.csv,201,5,83.039801,83.07537313,83.72178607,82.39276119,498699.8358
EA UW EquityFieldData.csv,7120,3,-99,-99,28.90028473,28.01160302,3072451.874
EBAY UW EquityFieldData.csv,4849,5,15.14518373,15.14892504,15.35372365,14.9392522,11222803.48
ECL UN EquityFieldData.csv,7828,5,36.29595954,36.31995922,36.59402032,36.0102085,509455.7679
ED UN EquityFieldData.csv,8066,5,41.23097973,41.24665943,41.52914865,40.92184509,538323.5243
EFX UN EquityFieldData.csv,8066,5,31.03799331,31.06116427,31.32672973,30.75322589,323654.9841
EIX UN EquityFieldData.csv,8065,5,31.58742095,31.60423094,31.8724212,31.30770558,808990.9541
EL UN EquityFieldData.csv,5568,5,36.55651959,36.57352326,36.89924555,36.2174306,1135859.782
EMN UN EquityFieldData.csv,6043,5,38.43305873,38.4432675,38.82355486,38.03444683,681735.515
EMR UN EquityFieldData.csv,8064,5,31.78810988,31.79537361,32.10153385,31.46942396,1589812.289
EOG UN EquityFieldData.csv,7116,5,30.95788272,30.95640996,31.36607628,30.52785672,1950276.594
EQIX UW EquityFieldData.csv,3777,5,144.090605,144.2054903,145.7824316,142.4186111,263406.0487
EQT UN EquityFieldData.csv,8063,5,28.82248993,28.82429198,29.1599704,28.47528218,360062.1781
ES UN EquityFieldData.csv,8065,5,26.57837167,26.59775077,26.79408723,26.36533007,365626.3297
ESRX UW EquityFieldData.csv,6438,5,26.74490536,26.75400547,27.04266568,26.43834001,3637119.43
ESS UN EquityFieldData.csv,5936,5,98.35380391,98.39904481,99.26342318,97.42542284,104448.8839
ETFC UW EquityFieldData.csv,3907,5,67.21399378,66.90911101,69.1500999,64.89713304,895043.1193
ETN UN EquityFieldData.csv,8065,5,27.76253281,27.77041887,28.03763184,27.48433271,1027492.383
ETR UN EquityFieldData.csv,7201,5,53.14173448,53.15944903,53.60164345,52.6788074,579668.4597
EVHC UN EquityFieldData.csv,271,5,54.28147601,54.22225092,54.95059041,53.48736162,548515.214
EW UN EquityFieldData.csv,4470,5,31.9497877,31.96500828,32.28399664,31.6338047,889126.5998
EXC UN EquityFieldData.csv,8066,5,28.3733805,28.38254337,28.65807053,28.08395434,1379548.14
EXPD UW EquityFieldData.csv,8063,5,20.74937874,20.76637773,20.88425156,20.38167901,873122.1419
EXPE UW EquityFieldData.csv,3135,5,53.99931164,54.00607974,54.65656013,53.30756715,815690.8335
EXR UN EquityFieldData.csv,3371,5,35.13096707,35.14614654,35.4845488,34.76667784,275893.898
F UN EquityFieldData.csv,8065,5,16.66466738,16.65448408,16.8683337,16.44345569,6181943.207
FAST UW EquityFieldData.csv,7655,3,-99,-99,16.86695219,16.46341048,1414518.325
FB UW EquityFieldData.csv,1415,4,85.72380565,85.72259011,86.56027915,84.80901272,-99
FBHS UN EquityFieldData.csv,1583,5,43.83559065,43.87374605,44.29138598,43.40434997,308050.2123
FCX UN EquityFieldData.csv,5658,5,21.87656022,21.8552524,22.22623726,21.4843147,3908750.139
FDX UN EquityFieldData.csv,8066,5,63.85858975,63.8768731,64.49138869,63.21873382,915475.3849
FE UN EquityFieldData.csv,5068,5,39.5509851,39.55561217,39.92872484,39.1566252,872582.3082
FFIV UW EquityFieldData.csv,4677,4,58.91406009,58.92387896,59.86406309,57.98209431,-99
FIS UN EquityFieldData.csv,4159,5,35.26357372,35.29020815,35.56191522,34.97381116,500828.1972
FISV UW EquityFieldData.csv,7882,5,24.283757,24.29823124,24.46582861,24.00849395,1400600.595
FITB UW EquityFieldData.csv,8068,5,23.5069109,23.51862436,23.78379322,23.21934711,1757652.142
FL UN EquityFieldData.csv,8055,5,25.44275703,25.44658196,25.75735608,25.11635943,668136.7157
FLIR UW EquityFieldData.csv,6174,5,15.99145927,16.00142636,16.19802803,15.78167654,713538.6712
FLR UN EquityFieldData.csv,4296,5,45.49419155,45.49141378,46.10700519,44.84506562,832383.9411
FLS UN EquityFieldData.csv,5145,5,26.69494599,26.70018533,27.01359572,26.36681712,662079.298
FMC UN EquityFieldData.csv,8058,5,21.036093,21.04211472,21.25534114,20.81719868,509888.8063
FOX UW EquityFieldData.csv,2268,5,23.1803709,23.19565657,23.41787262,22.95000265,1110009.312
FOXA UW EquityFieldData.csv,2268,5,22.92150463,22.92934533,23.16566971,22.67707725,4285030.995
FRT UN EquityFieldData.csv,8066,5,53.33461059,53.35539363,53.81501017,52.83293714,125256.3528
FTI UN EquityFieldData.csv,4163,5,26.18478926,26.18977934,26.54038998,25.81640144,1225163.615
FTV UN EquityFieldData.csv,390,5,59.79061697,59.82241645,60.23155527,59.37764781,341361.1154
GD UN EquityFieldData.csv,8066,5,49.80046727,49.82749331,50.24384763,49.37086858,957231.9943
GE UN EquityFieldData.csv,8066,5,21.37043222,21.36927933,21.58302794,21.1419284,13900588.5
GGP UN EquityFieldData.csv,6002,5,16.87852659,16.87905986,17.05241803,16.69159508,795453.8429
GILD UW EquityFieldData.csv,6534,5,23.13082664,23.12046883,23.39777318,22.83726849,10454028.57
GIS UN EquityFieldData.csv,8066,5,24.94846304,24.96204117,25.13401794,24.76905672,1650608.139
GLW UN EquityFieldData.csv,8065,5,15.6013278,15.59562255,15.85127352,15.3398943,3446077.436
GM UN EquityFieldData.csv,1791,5,31.93394752,31.91699051,32.25356728,31.57134841,3569601.46
GOOG UW EquityFieldData.csv,949,5,714.1479241,714.0665195,719.3493751,708.3898377,622496.8051
GOOGL UW EquityFieldData.csv,3366,5,396.66518,396.5270395,400.0288357,392.9145178,1851609.295
GPC UN EquityFieldData.csv,8064,5,40.19319332,40.20134754,40.52164838,39.8352041,292015.6043
GPN UN EquityFieldData.csv,4267,5,28.31204038,28.3247311,28.59135111,28.02926857,603003.5662
GPS UN EquityFieldData.csv,8066,5,17.38195446,17.38959588,17.6330846,17.13241369,3139751.82
GRMN UW EquityFieldData.csv,4567,5,34.44203683,34.43145782,34.92269844,33.918797,719089.7854
GS UN EquityFieldData.csv,4698,4,138.7182286,138.7475679,140.4154493,137.0328323,-99
GT UW EquityFieldData.csv,1268,5,26.93788249,26.94547319,27.25208596,26.62696924,1040470.577
